stock_name,cup_handle_price_line,start_of_cup_date,end_of_cup_date,handle_start_date,confirmation_date,handle_shape,cup_bottom_price,handle_low,depth_percent,profit_target,risk_reward_ratio,status,confidence,days_ago
JBL,237.05,2025-09-23,2025-12-26,2025-12-26,Not confirmed yet,drift,191.17,227.74,19.35,282.93,4.93,forming,87,1
JXN,110.39,2024-11-11,2025-12-24,2025-12-24,2026-01-06,drift,73.94,106.56,33.02,146.84,9.52,confirmed,87,0
KAR,30.93,2025-09-10,2025-12-24,2025-12-24,Not confirmed yet,drift,24.47,29.74,20.89,37.39,5.43,forming,87,1
KLAC,1282.32,2025-10-30,2025-12-24,2025-12-24,2026-01-05,drift,1071.96,1214.09,16.4,1492.68,3.08,confirmed,87,1
KOF,97.92,2025-07-07,2025-12-23,2025-12-23,Not confirmed yet,flag,80.96,94.6,17.32,114.88,5.11,forming,82,3
LMT,481.11,2025-06-13,2025-09-23,2025-09-23,2026-01-06,pennant,404.07,475.73,16.01,558.15,14.32,confirmed,77,0
MGM,36.51,2025-09-19,2025-12-08,2025-12-08,Not confirmed yet,pennant,29.19,35.06,20.05,43.83,5.05,forming,77,2
MTDR,43.7,2025-10-21,2025-12-01,2025-12-01,Not confirmed yet,drift,36.79,40.7,15.81,50.61,2.3,forming,87,5
NCLH,24.23,2025-10-22,2025-12-23,2025-12-23,Not confirmed yet,drift,17.35,22.15,28.39,31.11,3.31,forming,87,3
NVST,23.0,2024-10-31,2025-12-22,2025-12-22,Not confirmed yet,drift,15.96,21.69,30.61,30.04,5.37,forming,87,4
NXPI,234.33,2025-07-10,2025-08-25,2025-08-25,2026-01-06,drift,201.41,224.12,14.05,267.25,3.22,confirmed,87,0
PCAR,112.9,2024-11-13,2025-12-23,2025-12-23,2026-01-06,drift,91.28,110.68,19.15,134.52,9.74,confirmed,87,0
PM,163.72,2025-09-25,2025-12-26,2025-12-26,Not confirmed yet,drift,142.11,159.21,13.2,185.33,4.79,forming,87,1
QXO,22.35,2025-09-08,2025-12-12,2025-12-12,2026-01-05,pennant,18.08,20.79,19.11,26.62,2.74,confirmed,77,1
RBA,109.08,2025-10-06,2025-12-23,2025-12-23,Not confirmed yet,drift,95.31,104.7,12.62,122.85,3.14,forming,87,3
REGN,796.57,2024-12-09,2025-12-24,2025-12-24,Not confirmed yet,drift,518.29,769.17,34.93,1074.85,10.16,forming,87,2
REVG,62.33,2025-10-29,2025-12-22,2025-12-22,2026-01-05,flag,48.73,60.99,21.82,75.93,10.15,confirmed,82,1
RF,27.17,2025-09-18,2025-12-10,2025-12-10,2026-01-05,pennant,22.46,26.53,17.34,31.88,7.36,confirmed,77,1
RGA,209.0,2025-05-20,2025-12-22,2025-12-22,Not confirmed yet,drift,163.89,201.9,21.58,254.11,6.35,forming,87,4
RKT,20.62,2025-10-01,2025-12-02,2025-12-02,2026-01-05,drift,15.34,18.61,25.61,25.9,2.63,confirmed,87,1
RNG,30.9,2025-10-28,2025-12-10,2025-12-10,Not confirmed yet,pennant,25.66,28.88,16.96,36.14,2.59,forming,77,4
RTO,30.1,2025-10-23,2025-12-18,2025-12-18,Not confirmed yet,drift,25.97,29.66,13.72,34.23,9.39,forming,87,5
RWTO,25.99,2024-12-02,2025-12-12,2025-12-12,Not confirmed yet,pennant,22.25,24.82,14.39,29.73,3.2,forming,77,6
SARO,29.64,2025-10-15,2025-12-23,2025-12-23,2026-01-05,drift,23.97,28.65,19.13,35.31,5.73,confirmed,87,1
SN,101.59,2025-11-06,2025-12-01,2025-12-01,Not confirmed yet,pennant,83.21,94.94,18.09,119.97,2.76,forming,77,4
SNA,363.98,2024-11-27,2025-12-29,2025-12-29,Not confirmed yet,drift,283.93,342.34,21.99,444.03,3.7,forming,87,0
TAK,15.69,2025-09-08,2025-12-26,2025-12-26,Not confirmed yet,drift,12.99,15.48,17.21,18.39,12.86,forming,87,0
TMO,609.27,2025-01-30,2025-11-25,2025-11-25,2026-01-05,drift,400.97,577.96,34.19,817.57,6.65,confirmed,87,1
TRN,28.66,2025-07-03,2025-08-25,2025-08-25,2026-01-06,drift,22.14,27.86,22.75,35.18,8.15,confirmed,87,0
TTWO,261.47,2025-09-29,2025-12-29,2025-12-29,Not confirmed yet,drift,227.25,250.2,13.09,295.69,3.04,forming,87,-1
TXN,185.63,2025-09-26,2025-12-05,2025-12-05,2026-01-06,drift,157.8,177.5,14.99,213.46,3.42,confirmed,87,0
U,46.94,2025-09-16,2025-12-05,2025-12-05,Not confirmed yet,pennant,34.04,43.63,27.48,59.84,3.9,forming,77,2
VOYA,77.16,2025-09-23,2025-12-22,2025-12-22,Not confirmed yet,drift,67.63,74.5,12.35,86.69,3.58,forming,87,4
WAL,91.72,2025-09-18,2025-12-11,2025-12-11,Not confirmed yet,drift,68.25,83.81,25.59,115.19,2.97,forming,87,2
WIT,3.06,2025-07-17,2025-12-22,2025-12-22,Not confirmed yet,drift,2.61,2.87,14.71,3.51,2.37,forming,87,4
YUMC,49.37,2025-07-23,2025-12-26,2025-12-26,Not confirmed yet,drift,43.17,47.56,12.56,55.57,3.43,forming,87,1
